Judul,Harga,Lokasi,Kota,Provinsi,Tipe Properti,Kamar Tidur,Kamar Mandi,Luas Total,Lantai,Tahun Dibangun,Sertifikat,Nama Agen,Tanggal Posting,Link
DIJUAL CEPAT UNIT STUDIO TOWER MATOA LT. 17 WOODLAND PARK RESIDENCE,Rp 600Jt,"RW 07, Rawajati, Pancoran, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",Jakarta Selatan,Daerah Khusus Ibukota Jakarta,Apartemen,1 kamar tidur,1 kamar mandi,28 m²,17,2015,PPJB,MoFu,4 Jun 2026,https://www.lamudi.co.id/properti/41032-73-54ce27f8200-7466-19e91bd-aaf4-73c3
DI JUAL APARTEMEN 2 BEDROOM SKY HOUSE BSD – READY UNIT HUNI l AKSES AEON MALL,Rp 860Jt,"BSD City, Pagedangan, Pagedangan, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,2 Kamar Tidur,1 kamar mandi,51 m²,19,2023,SHM,Frans Property,21 Mei 2026,https://www.lamudi.co.id/properti/41032-73-95cd83cc7304-dbac-19e4a5d-8b75-73a2
"Di jual 2BR Sky House BSD city, lokasi premium samping Aeon mall BSD",Rp 850Jt,"BSD City, Pagedangan, Pagedangan, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,2 Kamar Tidur,1 kamar mandi,51 m²,20,2023,SHM,Frans Property,2 Jun 2026,https://www.lamudi.co.id/properti/41032-73-6b37fd621feb-bba4-19e881f-983d-8029
INVESTASI TERBAIK 2026: 2BR SAMPING AEON BSD HARGA PERDANA! CASH DICICIL 36X BUNGA 0%,Rp 840Jt,"BSD Grand CBD, BSD City, Pagedangan, Pagedangan, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,2 Kamar Tidur,1 kamar mandi,48 m²,26,2027,SHM,Sky House BSD.,3 Jun 2026,https://www.lamudi.co.id/properti/41032-73-2462c22c8a4b-cf35-19e8efa-b9dd-7c00
Dijual Apartemen Sepinggan Terrace Balikpapan,Rp 600Jt,"Sepinggan Baru, Balikpapan Selatan, Balikpapan, Kalimantan Timur",Balikpapan,Kalimantan Timur,Apartemen,,1 kamar mandi,29 m²,,,,Frans Property,10 Nov 2025,https://www.lamudi.co.id/properti/41032-73-f74d68fda560-862d-19a6d33-89c7-734b
Best Deal! Unit Full Furnished – herbras 20 | apartemen kalibata city,Rp 470Jt,"RW 04, Rawajati, Pancoran, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",Jakarta Selatan,Daerah Khusus Ibukota Jakarta,Apartemen,2 Kamar Tidur,1 kamar mandi,33 m²,07,2009,,Adelia Queen,2 Jan 2026,https://www.lamudi.co.id/properti/41032-73-d6cd955edaef-3f5a-19b7d15-b9f3-7ef6
DIJUAL – Apartemen 2BR Full Furnished View Gunung di Pasteur Gateway,Rp 500Jt,"Klaster Gunung Batu 117, Sukaraja, Cicendo, Kota Bandung, Jawa Barat",Kota Bandung,Jawa Barat,Apartemen,2 Kamar Tidur,1 kamar mandi,37 m²,5,,SHM,Aileen Felicia Goey - Be The Best Property,6 Jun 2026,https://www.lamudi.co.id/properti/41032-73-49f11b01286d-ca91-19e9ca6-85c4-7df1
Apartemen 2 KT Meikarta District 1 - Good View - 670jt,Mencari,"Meikarta, Jayamukti, Kab Bekasi, Jawa Barat",Kab Bekasi,Jawa Barat,Apartemen,2 Kamar Tidur,1 kamar mandi,54 m²,8,2022,HGB,Harda,13 Mei 2026,https://www.lamudi.co.id/properti/41032-73-d62241eb06c4-85ff-19e1fa2-bcfd-7676
"Dijual Cepat: Unit 1BR Branz BSD, Lokasi Strategis di CBD BSD City","Rp 1,40M","BSD City, Pagedangan, Pagedangan, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,1 kamar tidur,1 kamar mandi,42 m²,28,2022,,Kuncirumahpro,9 Mar 2026,https://www.lamudi.co.id/properti/41032-73-47c4567e1e27-e0c1-19cd0be-8d2b-7e11
Apartemen mewah posisi paling depan di kawasan cpi dan berhadapan dgn mall Ciputra world,"Rp 674,40Jt","Centre Point of Indonesia (CPI), Panambungan, Mariso, Makassar, Sulawesi Selatan",Makassar,Sulawesi Selatan,Apartemen,,1 kamar mandi,22 m²,33,2026,Strata,Dedy Century 21 Best Home,30 Apr 2026,https://www.lamudi.co.id/properti/41032-73-6a1d91c59a39-1af9-19ddf2e-8ca5-7b55
